@relation 3FightABQ

@attribute ﻿FightID numeric
@attribute FighterA {FighterA}
@attribute 'SS A Rd1' numeric
@attribute 'SS A Rd2' numeric
@attribute 'SS A Rd3' numeric
@attribute FighterB {FighterB}
@attribute 'SS B Rd1' numeric
@attribute 'SS B Rd2' numeric
@attribute 'SS B Rd3' numeric
@attribute 'Decision ' {KO,Scorecard,Submission}
@attribute Winner {FighterA,FighterB}

@data
126,FighterA,26,40,?,FighterB,19,27,?,Scorecard,FighterB
127,FighterA,18,22,?,FighterB,21,24,?,Scorecard,FighterA
128,FighterA,37,25,?,FighterB,25,2,?,Scorecard,FighterA
129,FighterA,24,16,?,FighterB,17,17,?,Scorecard,FighterA
130,FighterA,17,12,?,FighterB,18,10,?,Scorecard,FighterB
131,FighterA,19,18,?,FighterB,15,2,?,Scorecard,FighterB
132,FighterA,15,6,?,FighterB,11,13,?,Scorecard,FighterB
133,FighterA,22,13,?,FighterB,13,12,?,Scorecard,FighterB
134,FighterA,6,21,?,FighterB,12,14,?,Scorecard,FighterB
135,FighterA,12,40,?,FighterB,23,20,?,Scorecard,FighterA
136,FighterA,21,33,?,FighterB,13,20,?,Scorecard,FighterA
137,FighterA,6,16,?,FighterB,0,17,?,Scorecard,FighterB
138,FighterA,11,10,?,FighterB,6,14,?,Scorecard,FighterB
